
2023/11/16 (22:47:35) | ===> btop++ v.1.2.13
2023/11/16 (22:47:35) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/16 (23:39:53) | ===> btop++ v.1.2.13
2023/11/16 (23:39:53) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/16 (23:47:21) | ===> btop++ v.1.2.13
2023/11/16 (23:47:21) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/16 (23:47:28) | ===> btop++ v.1.2.13
2023/11/16 (23:47:28) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/16 (23:47:59) | ===> btop++ v.1.2.13
2023/11/16 (23:47:59) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (00:27:24) | ===> btop++ v.1.2.13
2023/11/17 (00:27:24) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (11:31:50) | ===> btop++ v.1.2.13
2023/11/17 (11:31:50) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (13:54:48) | ===> btop++ v.1.2.13
2023/11/17 (13:54:48) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (15:08:35) | ===> btop++ v.1.2.13
2023/11/17 (15:08:35) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (16:36:19) | ===> btop++ v.1.2.13
2023/11/17 (16:36:19) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (17:00:41) | ===> btop++ v.1.2.13
2023/11/17 (17:00:41) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (17:09:28) | ===> btop++ v.1.2.13
2023/11/17 (17:09:28) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/17 (18:18:44) | ===> btop++ v.1.2.13
2023/11/17 (18:18:44) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/18 (20:17:38) | ===> btop++ v.1.2.13
2023/11/18 (20:17:38) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/18 (23:38:08) | ===> btop++ v.1.2.13
2023/11/18 (23:38:08) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/19 (00:02:53) | ===> btop++ v.1.2.13
2023/11/19 (00:02:53) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/21 (23:13:28) | ===> btop++ v.1.2.13
2023/11/21 (23:13:28) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/22 (21:21:54) | ===> btop++ v.1.2.13
2023/11/22 (21:21:54) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/28 (17:49:25) | ===> btop++ v.1.2.13
2023/11/28 (17:49:25) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/28 (23:42:15) | ===> btop++ v.1.2.13
2023/11/28 (23:42:15) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/04 (12:33:00) | ===> btop++ v.1.2.13
2023/12/04 (12:33:00) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/04 (15:46:51) | ===> btop++ v.1.2.13
2023/12/04 (15:46:51) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/06 (23:28:26) | ===> btop++ v.1.2.13
2023/12/06 (23:28:26) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/07 (01:34:22) | ===> btop++ v.1.2.13
2023/12/07 (01:34:22) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/12 (21:11:55) | ===> btop++ v.1.2.13
2023/12/12 (21:11:55) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...
